688674149,6861756809,Noah,Cannon,821,1966/30/16,FEMALE,09681161946
684719079,6827763968,Erika,Smith,543,1955/30/25,MALE,09684101974
682717492,6834790013,Leslie,Bass,457,1965/30/15,MALE,09689705660
688495112,6823162449,Chasity,Conway,394,1973/30/24,MALE,09688234750
688916263,6882346469,Stephanie,Fry,1068,1972/30/16,FEMALE,09681963492
687287976,6819545282,George,Suarez,417,1976/30/03,FEMALE,09681288415
687472422,6837037345,Cassandra,Townsend,60,1980/30/31,MALE,09682926344
684386232,6897689143,Kaitlyn,Wilder,558,1976/30/31,MALE,09681127223
687603417,6842353311,Haley,Cook,1233,1959/30/06,FEMALE,09684445147
688332338,6886876032,Jeffrey,Suarez,77,1980/30/13,FEMALE,09686108431
689432270,6869254959,Rod,McIntyre,257,1982/30/25,MALE,09686522318
683703324,6894677660,Michael,Gross,457,1965/30/15,MALE,09685999741
689736410,6878498483,Michelle,Decker,459,1975/30/01,MALE,09686237087
683592991,6852078465,Myron,Hayes,347,1979/30/24,MALE,09684096047
682304644,6833251972,Steven,Patterson,462,1962/30/18,FEMALE,09688167844
682496506,6882319491,Terry,Roberson,328,1980/30/03,MALE,09682720558
683812966,6843971460,Jan,Stein,611,1975/30/28,MALE,09682192950
682281283,6831565955,Brenda,Flynn,996,1972/30/25,FEMALE,09686638178
686715255,6846754227,Jeremiah,Bird,39,1978/30/17,FEMALE,09688727710
681194196,6839604695,Greg,Hahn,418,1972/30/01,FEMALE,09681065988
681684337,6881658574,Doris,Snider,96,1972/30/05,FEMALE,09685650107
682412870,6812716149,Sean,Wyatt,132,1967/30/03,FEMALE,09685546053
684462424,6816881718,Jimmy,Tanner,1561,1981/30/10,MALE,09685932578
685622264,6874406310,Veronica,Nielsen,431,1978/30/01,MALE,09688094773
686422404,6834692309,Marilyn,Nguyen,460,1967/30/08,FEMALE,09683877551
685232222,6817990814,Susan,James,526,1969/30/09,FEMALE,09685666811
685953188,6867560308,Morgan,Burch,585,1982/30/24,FEMALE,09689244827
688432476,6884397335,Sandra,Schneider,942,1956/30/24,FEMALE,09689017659
689887329,6869529310,Savannah,Potter,706,1969/30/06,FEMALE,09686194015
687804138,6872387586,Mickey,Harding,741,1955/30/09,FEMALE,09686665910
689368662,6868787385,Levi,Harris,494,1973/30/29,MALE,09683864369
686234410,6833169742,Katherine,Patton,588,1955/30/17,FEMALE,09681492351
689894212,6890688846,Darla,Martin,246,1981/30/18,MALE,09685906428
682074102,6850312386,Lindsey,Luna,195,1970/30/17,FEMALE,09682353807
684312302,6888616516,Matt,Clarke,1243,1980/30/08,FEMALE,09688548653
686405523,6850936624,Tia,Yang,463,1984/30/02,MALE,09684957096
681828906,6821647593,Mickey,Stuart,467,1956/30/13,FEMALE,09689328352
684671218,6822982622,Rocky,Cantrell,499,1962/30/07,MALE,09689502752
685539742,6862635082,Nina,Donovan,263,1980/30/15,FEMALE,09689617756
686923316,6827963796,Skyler,Blackburn,124,1957/30/24,FEMALE,09685568024
689987384,6848866438,Jeannie,Humphrey,1552,1975/30/16,FEMALE,09687963760
683723125,6820999676,Christopher,Clarke,741,1981/30/13,FEMALE,09687244313
689886037,6835601302,Patrick,Adkins,502,1982/30/15,MALE,09685985652
687266163,6849361075,Isaac,Frederick,595,1984/30/04,FEMALE,09683005296
681108711,6834710869,Ryan,McConnell,526,1984/30/12,FEMALE,09684420607
682710849,6887669126,Matt,Santana,595,1961/30/19,MALE,09682834102
689610793,6873613563,Tyrone,Ayala,365,1958/30/09,FEMALE,09685288342
688233914,6854756419,Randy,Patton,750,1966/30/30,FEMALE,09687478408
683570991,6870330493,Alexandra,Duffy,345,1961/30/19,FEMALE,09688355721
684600922,6844432665,Margaret,Scott,296,1965/30/03,FEMALE,09682696398
688157638,6820334715,Danielle,Fitzpatrick,1834,1971/30/05,MALE,09682937789
687515604,6890157586,Sherri,Harding,440,1974/30/31,MALE,09684321411
684020183,6832358715,Tammy,Schwartz,753,1983/30/31,FEMALE,09681114542
683600672,6843653757,Austin,Schwartz,1041,1984/30/20,FEMALE,09685080267
684326529,6846914190,Marcus,Little,1094,1965/30/16,FEMALE,09687088258
684061929,6898152345,Kayla,Thomas,569,1977/30/26,FEMALE,09683054681
683073405,6835044368,Sher,Cooke,515,1982/30/21,MALE,09684999832
687360543,6864768425,Michael,Ellison,422,1966/30/02,MALE,09687347853
682178122,6819298728,Albert,Mosley,805,1972/30/02,MALE,09688991182
686952817,6888971972,Amanda,Knox,575,1963/30/28,MALE,09682784657
687322411,6839219520,Charlotte,Stewart,418,1957/30/30,MALE,09683105054
686429535,6863786293,Rodney,Poole,435,1962/30/07,FEMALE,09685038911
681064481,6897298791,Kristin,Cash,1430,1981/30/31,FEMALE,09682583494
689421899,6816496608,Kim,Carver,401,1974/30/22,MALE,09685636416
689144470,6834765814,Jacob,Thornton,288,1957/30/06,MALE,09682192038
686437385,6862625622,Samuel,Gaines,746,1964/30/22,FEMALE,09688768196
686173457,6863473423,Charlie,Woodward,620,1984/30/15,FEMALE,09689137143
684319813,6877418499,Kenneth,Hurst,101,1959/30/20,MALE,09687322583
689076307,6885982328,Bethany,Reyes,164,1962/30/22,FEMALE,09682190679
681639410,6839517408,Corey,Castro,465,1977/30/18,MALE,09685029717
683555528,6871670739,Shawn,Frye,781,1958/30/11,MALE,09682611145
689854550,6823586798,Floyd,Espinoza,847,1982/30/02,MALE,09683464125
688760352,6825933073,Brandon,Zimmerman,342,1964/30/18,MALE,09688034554
687395750,6846176073,Dan,Avery,424,1976/30/18,MALE,09688250715
687126690,6832433486,Maria,Stanton,33,1978/30/25,MALE,09689424882
682226734,6863258379,Rod,Henry,805,1959/30/01,FEMALE,09689389824
682039751,6857309042,Dakota,Horn,481,1971/30/24,MALE,09682259828
688006413,6866627187,Alexandra,Wilson,425,1983/30/18,MALE,09685824929
681760383,6855320017,Alyssa,Richmond,888,1956/30/23,MALE,09682297515
688188376,6826324255,Jeffery,Lamb,1677,1967/30/10,FEMALE,09688537338
689981350,6877170590,Seth,Moss,493,1976/30/16,MALE,09683936244
688092568,6864922545,Marcus,Hendrix,900,1980/30/21,FEMALE,09682100542
687346673,6835988988,Sarah,Stevens,612,1960/30/31,MALE,09687253107
685736585,6855203363,Anita,Hammond,436,1973/30/31,MALE,09686428175
687078123,6826413884,Wayne,Moses,342,1958/30/16,FEMALE,09686406533
683441120,6857991794,Kaitlyn,Lara,1003,1977/30/19,MALE,09688870511
